date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-09-22,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-25,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-26,0,8,0,0,14,0,21,5,0,236,0,0,0,0,0,0,0,6,9,0,6,5,9,0,0,0,0,7,0
2023-09-27,6,8,0,2,13,0,22,5,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-28,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-09-29,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-02,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-03,0,13,0,0,11,0,12,0,0,-2,0,1,0,2,0,0,0,7,6,0,258,0,8,0,0,0,0,3,0
2023-10-04,6,8,0,2,13,0,22,0,0,4,0,1,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-05,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-06,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-09,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-10,2,8,0,0,14,0,21,5,0,30,0,0,0,2,0,0,1,6,9,0,6,5,9,0,3,0,0,7,0
2023-10-11,404,14,0,0,8,0,11,5,0,0,0,0,0,2,1,0,1,5,6,0,-1,0,7,0,0,0,0,4,0
2023-10-12,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-13,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-16,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-17,2,8,0,2,14,0,21,5,0,12,0,0,0,2,1,0,1,6,9,0,6,5,9,1,4,0,0,7,0
2023-10-18,20,14,0,1,8,0,11,5,0,0,0,2,0,3,3,0,1,5,6,0,-1,1,7,-1,0,0,0,4,3
2023-10-19,0,8,0,-2,4,0,2,0,0,0,0,-2,0,2,75,0,3,4,0,0,-1,-5,8,0,0,0,0,3,4
2023-10-20,0,13,0,0,11,0,12,0,0,0,0,4,0,3,0,0,3,7,6,0,37,0,8,0,0,0,0,3,0
2023-10-23,0,11,0,0,13,0,17,0,0,0,0,0,0,1,0,0,0,6,6,0,5,1,10,0,0,0,0,6,-1
2023-10-24,0,0,0,-2,1007,0,-8,0,0,0,0,0,0,227,0,0,0,0,-3,1,-3,-6,705,0,0,11,0,-2,0
2023-10-25,6,8,0,2,13,0,22,0,0,4,0,4,0,3,1,0,0,7,10,1,4,5,9,0,2,-8,0,8,6
2023-10-26,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,-3,0,8,0
2023-10-27,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-30,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-10-31,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-11-01,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-11-02,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-11-03,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-11-06,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-11-07,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-11-08,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-11-09,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-11-10,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-11-13,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-11-14,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-11-15,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-11-16,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-11-17,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-11-20,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-11-21,6,8,0,2,13,0,22,0,0,4,0,0,0,3,1,0,0,7,10,0,4,5,9,0,2,0,0,8,0
2023-11-22,2,8,0,2,14,0,21,5,0,80,0,0,0,2,1,0,1,6,9,0,6,5,9,1,4,0,0,7,0
2023-11-24,6,8,0,2,13,0,22,5,0,4,0,0,0,3,1,0,1,7,10,0,4,5,9,-1,2,0,0,8,0
2023-11-27,2,8,0,2,14,0,21,5,0,4,0,0,0,2,1,0,1,6,9,0,6,5,9,1,4,0,0,7,0
